,ID,first_name,last_name,gender,birth,party,profession,education
953,837,Joachim,Riis-Bernickow,M,1989-02-03T00:00:00,I,Ikke oplyst,Ikke oplyst
954,506,Martin,Geertsen,M,1970-03-15T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
955,699,Niels Kristian,Larsen,M,2001-04-04T00:00:00,F,Offentligt ansat,Gymnasial uddannelse
956,1001,Carsten,Borup,M,1951-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
957,197,Lars,Rem,M,1962-09-22T00:00:00,D,Privat ansat/selvstændig,Gymnasial uddannelse
958,95,Marcus,Knuth,M,1976-04-02T00:00:00,C,Folketingsmedlem,Kandidat-/masteruddannelse
959,572,Lene,Prip-Sørensen,F,1981-06-09T00:00:00,V,Offentligt ansat,Kandidat-/masteruddannelse
960,500,Anne,Rasmussen,F,1971-04-14T00:00:00,V,Folketingsmedlem,Erhvervsuddannelse
961,164,Mette,Thiesen,F,1981-12-20T00:00:00,D,Folketingsmedlem,Bachelor-/diplomuddannelse
962,659,Asham,Nadeem,M,1996-10-14T00:00:00,Q,Udenfor arbejdsmarkedet,Bachelor-/diplomuddannelse
963,507,Michael,Lange,M,1963-01-01T00:00:00,V,Ikke oplyst,Ikke oplyst
964,1110,Jan,Schumann,M,1947-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
965,932,Palle,Rosenkilde,M,1966-04-26T00:00:00,K,Offentligt ansat,Kandidat-/masteruddannelse
966,586,Ellen,Emilie,F,2001-11-09T00:00:00,M,Leder,Gymnasial uddannelse
967,279,Søren Egge,Rasmussen,M,1961-07-02T00:00:00,Ø,Folketingsmedlem,Erhvervsuddannelse
968,340,Jørgen,Juhl,M,1966-01-01T00:00:00,I,Offentligt ansat,Kandidat-/masteruddannelse
969,583,Carsten Damgaard,Møller,M,1970-09-18T00:00:00,M,Ikke oplyst,Ikke oplyst
970,1043,Niclas,Aarestrup,M,1973-01-01T00:00:00,K,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
971,184,Allan,Berg,M,1970-03-22T00:00:00,D,Privat ansat/selvstændig,Erhvervsuddannelse
972,222,Frederik Aagaard,Sørensen,M,1985-12-26T00:00:00,B,Offentligt ansat,Kandidat-/masteruddannelse
973,135,Bitten Kvist,Jakobsen,F,1969-06-24T00:00:00,C,Leder,Seminaruddannelse
974,547,Eva Kjer,Hansen,F,1964-01-01T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
975,101,Klaus,Nyengaard,M,1970-09-02T00:00:00,C,Privat ansat/selvstændig,Kandidat-/masteruddannelse
976,644,Majbritt,Birkholm,F,1981-05-10T00:00:00,O,Offentligt ansat,Erhvervsuddannelse
977,513,Karen,Ellemann,F,1969-08-26T00:00:00,V,Folketingsmedlem,Seminaruddannelse
978,543,Stén,Knuth,M,1964-12-15T00:00:00,V,Privat ansat/selvstændig,Seminaruddannelse
979,201,Abbas,Razvi,M,1948-03-01T00:00:00,B,Udenfor arbejdsmarkedet,Bachelor-/diplomuddannelse
980,595,Jon,Stephensen,M,1959-12-24T00:00:00,M,Udenfor arbejdsmarkedet,Kandidat-/masteruddannelse
981,283,Christine,Lundgaard,F,1974-05-16T00:00:00,Ø,Privat ansat/selvstændig,Kandidat-/masteruddannelse
982,801,Trine,Bramsen,F,1981-03-26T00:00:00,A,Minister,Kandidat-/masteruddannelse
983,7,Torsten,Gejl,M,1964-01-30T00:00:00,Å,Folketingsmedlem,Gymnasial uddannelse
984,119,Mai,Mercado,F,1980-08-20T00:00:00,C,Folketingsmedlem,Kandidat-/masteruddannelse
985,181,Rune,Bønnelykke,M,1972-07-19T00:00:00,D,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
986,1094,Henrik Ræder,Clausen,M,1963-09-21T00:00:00,D,Ikke oplyst,Ikke oplyst
987,991,Louise,Louring,F,1992-05-23T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
988,339,David,Ibsen,M,1978-01-01T00:00:00,I,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
989,563,Mads,Fuglede,M,1971-08-23T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
