,ID,first_name,last_name,gender,birth,party,profession,education
339,970-mette-kierkegaard,Mette,Kierkgaard,F,1972-03-05T00:00:00,M,Offentligt ansat,Ph.d.-uddannelse
340,220-emilie-normann,Emilie,Normann,M,1969-10-10T00:00:00,B,Privat ansat/selvstændig,Kandidat-/masteruddannelse
341,864-morten-riis,Morten,Riis,M,1976-11-27T00:00:00,Ø,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse
342,599-kim-rasmussen,Kim,Rasmussen,M,1961-05-25T00:00:00,M,Leder,Bachelor-/diplomuddannelse
343,173-jonas-rene-jensen,Jonas René,Jensen,M,1981-01-14T00:00:00,D,Byråds- eller regionsrådsmedlem,10. klasse
344,348-per-noergaard-andersen,Per Nørgaard,Andersen,M,1964-01-01T00:00:00,I,Ikke oplyst,Ikke oplyst
345,409-gunner-kjerulf-poulsen,Gunner,Poulsen,M,1965-01-19T00:00:00,F,Offentligt ansat,Seminaruddannelse
346,548-hans-christian-schmidt,Hans Christian,Schmidt,M,1953-08-25T00:00:00,V,Ikke oplyst,Ikke oplyst
347,860-annie-hagel,Annie,Hagel,F,1950-01-01T00:00:00,Ø,Ikke oplyst,Ikke oplyst
348,800-thomas-skriver-jensen,Thomas Skriver,Jensen,M,1996-03-27T00:00:00,A,Privat ansat/selvstændig,Erhvervsuddannelse
349,1015-sadek-al-amood,Sadek,Al-Amood,M,1999-12-25T00:00:00,F,Byråds- eller regionsrådsmedlem,Bachelor-/diplomuddannelse
350,528-marianne-lynghoej-pedersen,Marianne,Lynghøj,F,1988-03-31T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
351,533-ditte-rust,Ditte,Rust,F,1984-08-23T00:00:00,V,Offentligt ansat,Kandidat-/masteruddannelse
352,729-nikolaj-vang,Nikolaj,Vang,M,1977-11-07T00:00:00,Æ,Privat ansat/selvstændig,Seminaruddannelse
353,653-susanne-eilersen,Susanne,Eilersen,F,1964-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
354,669-marianne-karlberg,Marianne,Karlberg,F,1963-12-11T00:00:00,Q,Privat ansat/selvstændig,Kandidat-/masteruddannelse
355,636-gert-loefgren,Gert,Løfgren,M,1965-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
356,569-heidi-bank,Heidi,Bank,F,1972-08-01T00:00:00,V,Folketingsmedlem,Erhvervsuddannelse
357,927-soeren-lydeking-pedersen,Søren Lydeking,Pedersen,M,1984-10-02T00:00:00,K,Offentligt ansat,Kandidat-/masteruddannelse
358,276-victoria-velasquez,Victoria,Velásquez,F,1991-07-18T00:00:00,Ø,Folketingsmedlem,Kandidat-/masteruddannelse
359,311-carsten-bach,Carsten,Bach,M,1975-12-09T00:00:00,I,Privat ansat/selvstændig,Kandidat-/masteruddannelse
360,141-birgitte-klippert,Birgitte,Klippert,F,1985-09-16T00:00:00,C,Leder,Bachelor-/diplomuddannelse
361,660-nour-el-zeftawy,Nour El,Zeftawy,F,1998-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
362,793-kasper-roug,Kasper,Roug,M,1979-06-06T00:00:00,A,Folketingsmedlem,Kandidat-/masteruddannelse
363,105-soeren-vanting,Søren,Vanting,M,1972-07-22T00:00:00,C,Privat ansat/selvstændig,Gymnasial uddannelse
364,1021-sara-hvidbak-grouleff,Sara Hvidbak,Grouleff,F,1989-03-30T00:00:00,Q,Studerende,Gymnasial uddannelse
365,241-line-krogh-lay,Line Krogh,Lay,F,1972-02-24T00:00:00,B,Offentligt ansat,Bachelor-/diplomuddannelse
366,524-preben-bang-henriksen,Preben Bang,Henriksen,M,1954-02-11T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
367,661-niko-grunfeld,Niko,Grünfeld,M,1975-03-13T00:00:00,Q,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
368,1137-viola-kirkegaard-krage,Viola Kirkegaard,Kräge,F,2002-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
369,114-jakob-axel-nielsen,Jakob Axel,Nielsen,M,1967-04-12T00:00:00,C,Leder,Kandidat-/masteruddannelse
370,634-dorthe-ullemose,Dorthe,Ullemose,F,1964-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
371,97-lotte-simone-emilie-friis-boing,Lotte Friis,Böing,F,1993-01-09T00:00:00,C,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
372,411-lars-olesen,Lars,Olesen,M,1978-03-01T00:00:00,F,Offentligt ansat,Bachelor-/diplomuddannelse
373,360-steffen-froelund,Steffen,Frølund,M,1984-07-15T00:00:00,I,Privat ansat/selvstændig,Kandidat-/masteruddannelse
374,538-louise-schack-elholm,Louise Schack,Elholm,F,1977-10-26T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
375,253-nils-sjoeberg,Nils,Sjøberg,M,1960-08-04T00:00:00,B,Leder,Kandidat-/masteruddannelse
376,649-pia-adelsteen,Pia,Adelsteen,F,1963-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
377,460-cheanne-nielsen,Cheanne,Nielsen,F,1984-09-12T00:00:00,O,Offentligt ansat,Kandidat-/masteruddannelse
378,686-jens-skov,Jens,Skov,M,1966-11-12T00:00:00,F,Privat ansat/selvstændig,Kandidat-/masteruddannelse
379,61-laura-lindahl,Laura,Lindahl,F,1983-07-06T00:00:00,C,Leder,Kandidat-/masteruddannelse
380,756-mattias-tesfaye,Mattias,Tesfaye,M,1981-03-31T00:00:00,A,Minister,Erhvervsuddannelse
381,676-alexander-bruhn-skjoeth,Alexander Bruhn,Skjøth,M,1980-06-14T00:00:00,F,Udenfor arbejdsmarkedet,Gymnasial uddannelse
382,836-danny-malkowski,Danny,Malkowski,M,1984-09-26T00:00:00,I,Privat ansat/selvstændig,Kandidat-/masteruddannelse
383,822-bjoern-boeje-brandenborg,Bjørn Bøje,Brandenborg,M,1991-12-10T00:00:00,A,Folketingsmedlem,Bachelor-/diplomuddannelse
384,916-poul-harald-holm,Poul Harald,Holm,M,1974-06-21T00:00:00,K,Offentligt ansat,Bachelor-/diplomuddannelse
385,594-johan-kahl,Johan,Kahl,M,1997-07-22T00:00:00,M,Studerende,Bachelor-/diplomuddannelse
386,3-hans-fonsboel,Hans,Fonsbøl,M,1945-03-31T00:00:00,Å,Privat ansat/selvstændig,Kandidat-/masteruddannelse
387,221-esat-senturk,Esat,Sentürk,M,1989-05-18T00:00:00,B,Offentligt ansat,Bachelor-/diplomuddannelse
388,603-lars-philip-prahm,Lars Philipsen,Prahm,M,1944-05-01T00:00:00,M,Leder,Ph.d.-uddannelse
389,807-morten-boedskov,Morten,Bødskov,M,1970-05-01T00:00:00,A,Minister,Bachelor-/diplomuddannelse
390,483-morten-messerschmidt,Morten,Messerschmidt,M,1980-11-13T00:00:00,O,Partileder,Kandidat-/masteruddannelse
391,217-daniel-nyboe-andersen,Daniel Nyboe,Andersen,M,1977-08-14T00:00:00,B,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
392,551-niels-henning-bladt,Niels Henning,Bladt,M,1988-03-17T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
393,633-danny-rosenkilde,Danny,Rosenkilde,M,1966-06-07T00:00:00,O,Privat ansat/selvstændig,Grundskole
394,613-nanna-godtfredsen,Nanna W.,Gotfredsen,F,1969-03-11T00:00:00,M,Privat ansat/selvstændig,Kandidat-/masteruddannelse
395,236-kathrine-olldag,Kathrine,Olldag,F,1972-12-20T00:00:00,B,Folketingsmedlem,Kandidat-/masteruddannelse
